Bus,busmap
DE23-380,DE0 3
DE24-380,DE0 3
DE25-380,DE0 3
DE26-380,DE0 3
DE27-380,DE0 3
DE28-380,DE0 7
DE29-220,DE0 3
DE30-380,DE0 7
DE31-380,DE0 7
DE33-380,DE0 7
DE34-380,DE0 7
DE36-220,DE0 5
DE37-220,DE0 7
DE39-220,DE0 2
DE40-220,DE0 5
DE41-380,DE0 2
DE43-220,DE0 5
DE45-380,DE0 2
DE46-380,DE0 3
DE49-380,DE0 5
DE50-380,DE0 2
DE51-220,DE0 7
DE53-380,DE0 2
DE56-380,DE0 2
DE57-380,DE0 5
DE6-380,DE0 0
DE61-380,DE0 2
DE62-380,DE0 2
DE64-220,DE0 2
DE65-380,DE0 2
DE66-380,DE0 2
DE67-380,DE0 2
DE68-380,DE0 2
DE69-380,DE0 2
DE7-220,DE0 0
DE70-380,DE0 2
DE72-220,DE0 2
DE73-380,DE0 2
DE74-380,DE0 2
DE75-380,DE0 2
DE76-380,DE0 2
DE77-380,DE0 2
DE78-220,DE0 2
DE79-220,DE0 2
DE8-380,DE0 0
DE80-380,DE0 2
DE81-220,DE0 2
DE82-220,DE0 2
DE84-220,DE0 2
DE85-380,DE0 2
DE86-220,DE0 2
DE87-380,DE0 2
DE88-380,DE0 2
DE89-380,DE0 2
DE9-380,DE0 3
DE91-380,DE0 2
DE93-220,DE0 2
DE94-380,DE0 7
DE95-380,DE0 7
DE96-380,DE0 2
DE97-220,DE0 2
DE98-220,DE0 2
DK16-400,DE0 0
relation/17591073-220,DE0 8
way/1024536785-380,DE0 2
way/102743264-220,DE0 6
way/1040551074-220,DE0 2
way/106096507-380,DE0 2
way/1068350839-380,DE0 3
way/1072574879-380,DE0 7
way/1076001174-380,DE0 2
way/1086825107-380,DE0 1
way/108797675-380,DE0 1
way/1089769599-380,DE0 0
way/1089911133-380,DE0 0
way/1091984573-380,DE0 3
way/1093896544-380,DE0 6
way/1094015892-380,DE0 0
way/109917397-380,DE0 3
way/1102237380-380,DE0 0
way/1107961833-380,DE0 0
way/1128250707-380,DE0 7
way/11285720-380,DE0 0
way/113546939-380,DE0 2
way/114319248-380,DE0 7
way/11500045-380,DE0 3
way/1191459479-220,DE0 0
way/121199242-380,DE0 2
way/1222597066-380,DE0 3
way/1223405794-380,DE0 8
way/1245826064-380,DE0 8
way/1280364401-380,DE0 0
way/1280840211-380,DE0 7
way/1327333163-380,DE0 6
way/132814303-220,DE0 2
way/133342285-220,DE0 4
way/137602559-380,DE0 4
way/142487746-380,DE0 7
way/143854536-380,DE0 6
way/143882655-380,DE0 1
way/143903369-380,DE0 8
way/145002769-380,DE0 8
way/145680894-220,DE0 2
way/147521567-380,DE0 8
way/148446247-380,DE0 1
way/149256409-380,DE0 1
way/149987048-380,DE0 8
way/150200540-380,DE0 7
way/151967290-380,DE0 2
way/151967291-380,DE0 2
way/152018146-380,DE0 8
way/152107815-380,DE0 8
way/152261133-380,DE0 8
way/152403632-380,DE0 2
way/152924498-380,DE0 8
way/152924508-220,DE0 8
way/152973139-380,DE0 8
way/156402422-220,DE0 8
way/156673636-380,DE0 5
way/156673637-380,DE0 1
way/156676050-220,DE0 8
way/156960655-380,DE0 5
way/157164284-220,DE0 5
way/157328339-380,DE0 3
way/157806991-380,DE0 3
way/160584794-380,DE0 2
way/160929097-220,DE0 8
way/169244940-380,DE0 8
way/170123812-400,DE0 3
way/18629425-380,DE0 4
way/198448981-380,DE0 8
way/202747445-380,DE0 8
way/206289192-380,DE0 7
way/207248812-380,DE0 8
way/22720647-380,DE0 0
way/22761692-380,DE0 2
way/22761839-380,DE0 2
way/22765517-380,DE0 2
way/22766160-380,DE0 2
way/22767509-380,DE0 2
way/22796434-220,DE0 2
way/22944791-220,DE0 2
way/22960899-380,DE0 6
way/22964137-380,DE0 2
way/22973052-220,DE0 3
way/22973070-380,DE0 3
way/23022100-380,DE0 2
way/23067006-380,DE0 2
way/23084554-380,DE0 2
way/23192640-220,DE0 2
way/23284340-380,DE0 8
way/23380800-380,DE0 2
way/234171369-380,DE0 0
way/23583867-380,DE0 0
way/23641079-380,DE0 8
way/23899043-380,DE0 5
way/24042358-380,DE0 8
way/24158385-220,DE0 4
way/24230738-380,DE0 7
way/24237879-220,DE0 4
way/24258096-380,DE0 5
way/24262656-380,DE0 5
way/24267175-220,DE0 2
way/24272339-380,DE0 5
way/24413992-380,DE0 5
way/24462426-380,DE0 2
way/24478889-380,DE0 2
way/24479003-380,DE0 2
way/24479984-380,DE0 2
way/24493551-380,DE0 7
way/24502420-380,DE0 0
way/24604789-380,DE0 7
way/24667346-380,DE0 2
way/24685992-380,DE0 8
way/24705761-380,DE0 1
way/24757392-380,DE0 1
way/24757393-380,DE0 1
way/24757833-380,DE0 1
way/24758329-380,DE0 1
way/24759324-220,DE0 4
way/24768051-220,DE0 4
way/24799890-380,DE0 2
way/24839976-380,DE0 2
way/24921206-380,DE0 2
way/24976300-380,DE0 4
way/25051880-220,DE0 2
way/25306752-380,DE0 6
way/25306938-380,DE0 0
way/25786404-380,DE0 6
way/25943440-380,DE0 7
way/259561755-380,DE0 8
way/26245195-380,DE0 4
way/26260052-380,DE0 6
way/26383042-380,DE0 7
way/26404600-380,DE0 6
way/26472665-380,DE0 5
way/26474759-380,DE0 5
way/266684854-380,DE0 7
way/26814283-380,DE0 6
way/26927264-380,DE0 2
way/27124619-220,DE0 0
way/27149550-380,DE0 3
way/274603394-380,DE0 3
way/274621059-220,DE0 5
way/274630377-380,DE0 5
way/275466323-380,DE0 0
way/27646106-220,DE0 0
way/27739871-380,DE0 7
way/27871140-220,DE0 2
way/27919734-380,DE0 2
way/28008024-220,DE0 0
way/28327356-380,DE0 0
way/28343121-380,DE0 0
way/28397771-220,DE0 7
way/28452784-220,DE0 2
way/28613721-380,DE0 1
way/28729619-380,DE0 3
way/28812249-220,DE0 7
way/28956649-380,DE0 4
way/29077623-380,DE0 2
way/29084374-380,DE0 4
way/29309786-380,DE0 5
way/29331499-380,DE0 3
way/29374542-220,DE0 2
way/29472852-380,DE0 7
way/29713902-380,DE0 3
way/30017786-220,DE0 5
way/30039908-380,DE0 3
way/30040568-380,DE0 0
way/301158539-400,DE0 0
way/30132758-380,DE0 3
way/30164703-380,DE0 3
way/30303506-380,DE0 3
way/30613895-380,DE0 4
way/30954714-380,DE0 3
way/31024391-380,DE0 7
way/31105067-380,DE0 6
way/31131320-380,DE0 6
way/31131325-380,DE0 6
way/31367936-220,DE0 6
way/31367940-380,DE0 6
way/31653753-380,DE0 1
way/31762305-220,DE0 2
way/32042992-380,DE0 7
way/32063539-380,DE0 0
way/32076853-380,DE0 7
way/32151621-220,DE0 8
way/32318130-220,DE0 0
way/32472806-380,DE0 2
way/32690742-380,DE0 5
way/32725957-220,DE0 8
way/32843531-380,DE0 3
way/32904794-380,DE0 7
way/32966636-220,DE0 8
way/33042984-220,DE0 5
way/33169401-380,DE0 3
way/33411203-380,DE0 7
way/33816726-380,DE0 2
way/35176751-380,DE0 0
way/35763480-380,DE0 2
way/373967500-380,DE0 8
way/37554416-220,DE0 2
way/37721677-380,DE0 6
way/37764852-380,DE0 7
way/38325076-380,DE0 6
way/38661452-380,DE0 8
way/395847307-380,DE0 2
way/39688875-220,DE0 3
way/398680313-380,DE0 3
way/409305507-220,DE0 8
way/41232144-380,DE0 5
way/41334805-380,DE0 6
way/41389594-380,DE0 6
way/414169327-380,DE0 3
way/42050342-380,DE0 6
way/42097854-380,DE0 2
way/42372159-380,DE0 8
way/42410916-380,DE0 8
way/42423415-380,DE0 2
way/42488850-380,DE0 2
way/42507488-380,DE0 2
way/42560068-380,DE0 7
way/42681484-380,DE0 5
way/42736239-380,DE0 6
way/42797575-380,DE0 7
way/42799487-380,DE0 2
way/42861703-380,DE0 2
way/43163132-380,DE0 3
way/43688805-380,DE0 6
way/442199284-380,DE0 3
way/449010725-380,DE0 0
way/456386244-380,DE0 5
way/46584363-380,DE0 8
way/46615737-380,DE0 3
way/48057110-380,DE0 8
way/48428875-380,DE0 6
way/49577401-380,DE0 2
way/499165542-380,DE0 1
way/50729129-220,DE0 4
way/50898216-380,DE0 8
way/515358077-380,DE0 3
way/517421342-380,DE0 0
way/518455594-380,DE0 3
way/525964629-380,DE0 0
way/53378027-380,DE0 4
way/54359256-380,DE0 8
way/55069713-380,DE0 8
way/559702819-380,DE0 7
way/57727004-380,DE0 6
way/59026005-380,DE0 3
way/59707532-380,DE0 3
way/59925390-380,DE0 2
way/60032354-220,DE0 0
way/600395952-380,DE0 8
way/61918154-380,DE0 7
way/63114179-380,DE0 2
way/66038431-220,DE0 2
way/66764943-220,DE0 2
way/683227471-380,DE0 6
way/68532663-220,DE0 4
way/68549340-380,DE0 2
way/76246159-380,DE0 4
way/77038371-380,DE0 6
way/77694901-220,DE0 4
way/77697810-380,DE0 4
way/78441561-380,DE0 4
way/796306640-380,DE0 7
way/797009308-380,DE0 7
way/810315511-380,DE0 5
way/82773910-400,DE0 8
way/829116805-380,DE0 7
way/851299584-380,DE0 3
way/85523877-380,DE0 6
way/870598507-380,DE0 2
way/871646309-380,DE0 7
way/87653464-400,DE0 8
way/87722999-380,DE0 0
way/87767098-380,DE0 2
way/883768276-380,DE0 7
way/883768277-380,DE0 7
way/883928228-380,DE0 7
way/883928229-380,DE0 7
way/88916034-380,DE0 6
way/88945213-380,DE0 6
way/89043564-380,DE0 2
way/89176939-220,DE0 2
way/89215122-220,DE0 8
way/90148336-220,DE0 2
way/907539360-380,DE0 0
way/91854336-380,DE0 2
way/92165128-380,DE0 2
way/93278553-220,DE0 2
way/933248930-220,DE0 8
way/93341407-380,DE0 1
way/940922557-380,DE0 3
way/941198517-380,DE0 3
way/941453716-380,DE0 3
way/941805476-380,DE0 3
way/942448206-380,DE0 3
way/942771541-380,DE0 3
way/943135226-380,DE0 3
way/943939310-380,DE0 5
way/946025110-380,DE0 3
way/946710698-220,DE0 3
way/947118608-380,DE0 3
way/948341123-380,DE0 5
way/951273401-380,DE0 7
way/951773852-380,DE0 7
way/952004951-380,DE0 5
way/952346322-380,DE0 2
way/953015049-380,DE0 7
way/953757606-380,DE0 5
way/953757608-380,DE0 5
way/954971276-220,DE0 1
way/955268863-380,DE0 7
way/957746797-380,DE0 7
way/97825259-380,DE0 6
way/979801144-380,DE0 2
DK1-400,DK0 0
DK10-400,DK0 0
DK11-400,DK0 0
DK2-400,DK0 0
DK3-400,DK0 0
DK4-400,DK0 0
DK5-400,DK0 0
DK8-400,DK0 0
DK9-400,DK0 0
way/1101832649-400,DK0 0
way/1284726676-400,DK0 0
way/330079127-400,DK0 0
way/42128776-400,DK0 0
way/69412925-400,DK0 0
way/69424173-400,DK0 0
way/95713495-400,DK0 0
way/95840891-400,DK0 0
way/95868396-400,DK0 0
way/98033206-400,DK0 0
way/98212652-400,DK0 0
way/98216482-400,DK0 0
way/98524305-400,DK0 0
way/98526640-400,DK0 0
DK13-220,DK1 0
SE57-220,DK1 0
way/131339683-400,DK1 0
way/133082281-400,DK1 0
way/142321228-400,DK1 0
way/160792651-400,DK1 0
way/26452107-400,DK1 0
way/26931725-400,DK1 0
way/889061694-220,DK1 0
EE3-330,EE0 0
EE4-330,EE0 0
way/1265528535-330,EE0 0
way/34682059-330,EE0 0
way/34682089-330,EE0 0
way/34685113-330,EE0 0
way/34920699-330,EE0 0
way/34935436-330,EE0 0
way/34968224-330,EE0 0
way/35343343-330,EE0 0
way/35450930-330,EE0 0
way/743155118-330,EE0 0
way/768781614-330,EE0 0
ES1-400,ES0 2
ES10-220,ES0 2
ES100-220,ES0 0
ES101-220,ES0 2
ES102-220,ES0 2
ES103-400,ES0 2
ES104-220,ES0 2
ES105-220,ES0 2
ES106-220,ES0 2
ES108-220,ES0 0
ES109-220,ES0 2
ES11-220,ES0 2
ES117-220,ES0 2
ES12-400,ES0 2
ES121-220,ES0 0
ES124-220,ES0 0
ES125-400,ES0 2
ES126-400,ES0 0
ES127-220,ES0 2
ES128-400,ES0 2
ES129-220,ES0 2
ES13-220,ES0 2
ES130-220,ES0 2
ES133-400,ES0 0
ES134-400,ES0 2
ES135-220,ES0 0
ES136-220,ES0 2
ES139-220,ES0 0
ES14-400,ES0 2
ES140-220,ES0 0
ES143-400,ES0 0
ES144-400,ES0 0
ES145-220,ES0 0
ES147-220,ES0 2
ES148-220,ES0 0
ES151-220,ES0 2
ES152-220,ES0 0
ES153-220,ES0 0
ES154-220,ES0 0
ES155-220,ES0 0
ES158-220,ES0 2
ES159-220,ES0 2
ES160-220,ES0 0
ES161-220,ES0 0
ES162-400,ES0 0
ES164-400,ES0 2
ES165-220,ES0 0
ES167-400,ES0 2
ES168-220,ES0 0
ES169-220,ES0 0
ES170-400,ES0 0
ES171-220,ES0 0
ES172-220,ES0 0
ES173-220,ES0 0
ES174-220,ES0 0
ES175-220,ES0 0
ES176-220,ES0 0
ES18-400,ES0 2
ES180-400,ES0 0
ES182-220,ES0 2
ES183-220,ES0 2
ES185-400,ES0 0
ES186-400,ES0 0
ES187-220,ES0 0
ES190-400,ES0 0
ES191-220,ES0 2
ES193-220,ES0 0
ES194-220,ES0 0
ES196-400,ES0 2
ES197-400,ES0 0
ES199-400,ES0 0
ES20-400,ES0 2
ES200-400,ES0 2
ES201-400,ES0 0
ES203-400,ES0 2
ES204-400,ES0 2
ES205-400,ES0 2
ES206-400,ES0 2
ES207-400,ES0 2
ES208-400,ES0 2
ES209-220,ES0 2
ES21-220,ES0 2
ES210-400,ES0 2
ES212-400,ES0 2
ES213-220,ES0 2
ES214-220,ES0 2
ES218-220,ES0 2
ES22-400,ES0 2
ES222-400,ES0 2
ES223-220,ES0 2
ES226-220,ES0 2
ES227-220,ES0 2
ES228-400,ES0 2
ES23-400,ES0 2
ES231-220,ES0 2
ES233-220,ES0 2
ES234-220,ES0 2
ES236-220,ES0 2
ES237-220,ES0 2
ES238-220,ES0 2
ES239-220,ES0 2
ES240-220,ES0 2
ES241-220,ES0 2
ES243-400,ES0 2
ES247-220,ES0 2
ES248-220,ES0 2
ES249-400,ES0 2
ES25-400,ES0 2
ES250-400,ES0 0
ES251-220,ES0 2
ES252-220,ES0 2
ES253-220,ES0 2
ES255-220,ES0 0
ES256-400,ES0 0
ES257-400,ES0 0
ES258-400,ES0 2
ES259-220,ES0 2
ES26-400,ES0 2
ES261-220,ES0 2
ES263-220,ES0 0
ES264-220,ES0 0
ES265-220,ES0 1
ES266-220,ES0 1
ES267-400,ES0 1
ES269-220,ES0 1
ES27-220,ES0 2
ES272-220,ES0 1
ES273-220,ES0 0
ES274-220,ES0 0
ES275-220,ES0 1
ES278-220,ES0 0
ES279-400,ES0 0
ES28-220,ES0 2
ES280-400,ES0 0
ES285-220,ES0 1
ES287-220,ES0 0
ES29-400,ES0 2
ES290-220,ES0 0
ES291-220,ES0 0
ES292-400,ES0 0
ES293-400,ES0 1
ES294-220,ES0 1
ES296-220,ES0 0
ES299-400,ES0 0
ES3-220,ES0 2
ES30-400,ES0 2
ES302-400,ES0 0
ES306-220,ES0 0
ES309-220,ES0 1
ES31-400,ES0 2
ES310-220,ES0 1
ES313-220,ES0 1
ES315-400,ES0 0
ES316-220,ES0 1
ES32-220,ES0 2
ES320-220,ES0 1
ES321-400,ES0 0
